id,title,author,pages,image,quantity
,Anna Karenina,Leo Tolstoy,864,anna-karenina.jpg,1
,The Death of Ivan Ilyich,Leo Tolstoy,92,the-death-of-ivan-ilyich.jpg,1
,The Adventures of Huckleberry Finn,Mark Twain,224,the-adventures-of-huckleberry-finn.jpg,1
,Ramayana,Valmiki,152,ramayana.jpg,1
,The Aeneid,Virgil,442,the-aeneid.jpg,1
,Mahabharata,Vyasa,276,the-mahab-harata.jpg,1
,Leaves of Grass,Walt Whitman,152,leaves-of-grass.jpg,1
,Mrs Dalloway,Virginia Woolf,216,mrs-dalloway.jpg,1
,To the Lighthouse,Virginia Woolf,209,to-the-lighthouse.jpg,1
,Memoirs of Hadrian,Marguerite Yourcenar,408,memoirs-of-hadrian.jpg,1
